ID,国,都道府県,州,その他の国,学年,好きな教科,デバイス,習い事,好きな果物,好きなゲーム,好きな動物,好きなこと,将来の夢,睡眠時間
1,米国,,California,,3_3年生,算数,タブレット,3,りんご,シミュレーション,ねこ,プログラミング,ゲームクリエイター,9
2,日本,東京都,,,4_4年生,体育,パソコン,3,メロン,アクション,いぬ,スポーツ,スポーツ選手,8
3,それ以外,,,Canada,8_中学2年生,音楽,パソコン,3,りんご,パズル,ねこ,工作,プログラマー,9
4,日本,愛媛県,,,5_5年生,算数,パソコン,3,みかん,冒険,いぬ,なぞとき,答えたくない,9
5,日本,大阪府,,,6_6年生,体育,スマホ,2,すいか,アクション,とり,スポーツ,まだ決まっていない,8
6,日本,東京都,,,4_4年生,図工,パソコン,3,いちご,バトル,ねこ,工作,アーティスト,8
7,日本,宮城県,,,6_6年生,体育,タブレット,4,キウイ,アクション,Elephant,スポーツ,スポーツ選手,8
8,日本,山口県,,,6_6年生,体育,パソコン,5,ぶどう,Battle,Tiger,スポーツ,まだ決まっていない,8
9,日本,山口県,,,3_3年生,図工,デバイスはあまり使わない,5,いちご,Card games,Wombat,工作,ファッションデザイナー,8
10,日本,大阪府,,,9_中学3年生,社会,パソコン,4,かき,ストーリー,蛇,音楽,作家,10
11,日本,東京都,,,6_6年生,自習,パソコン,4,メロン,アクション,ねこ,スポーツ,まだ決まっていない,6
12,日本,愛知県,,,3_3年生,図工,パソコン,1,いちご,シミュレーション,さかな,工作,ゲームクリエイター,9h
13,日本,岐阜県,,,5_5年生,図工,タブレット,2,もも,スポーツ,うさぎ,絵,プログラマー,9
14,日本,東京都,,,4_4年生,図工,パソコン,3,みかん,アクション,ねこ,工作,ユーチューバー,8
15,日本,岐阜県,,,3_3年生,算数,タブレット,2,バナナ,レース,きりん,スポーツ,パイロット,9
16,日本,埼玉県,,,7_中学1年生,理科,タブレット,2,なし,パズル,ねこ,プログラミング,ゲームクリエイター,8
17,日本,宮城県,,,5_5年生,算数,パソコン,3,さくらんぼ,冒険,ねこ,プログラミング,ゲームクリエイター,8
18,日本,埼玉県,,,5_5年生,家庭,デバイスはあまり使わない,2,メロン,アクション,ねこ,プログラミング,エンジニア,40
19,日本,東京都,,,3_3年生,図工,パソコン,3,さくらんぼ,冒険,いぬ,絵,ファッションデザイナー,9
20,日本,愛知県,,,6_6年生,体育,パソコン,3,パイナップル,シミュレーション,いぬ,音楽,ミュージシャン,6
21,日本,兵庫県,,,4_4年生,理科,タブレット,4,りんご,サンドボックス,ねこ,プログラミング,科学者研究者,8
22,日本,熊本県,,,7_中学1年生,社会,タブレット,1,なし,パズル,ねこ,なぞとき,弁護士,7
23,日本,岩手県,,,4_4年生,体育,デバイスはあまり使わない,0,オレンジ,アクション,ねこ,絵,アーティスト,8
24,日本,静岡県,,,7_中学1年生,理科,パソコン,2,メロン,冒険,ない,プログラミング,ゲームクリエイター,10
25,日本,熊本県,,,6_6年生,体育,スマホ,Abucus and trampoline,いちご,シミュレーション,Red panda,工作,まだ決まっていない,9
26,日本,熊本県,,,8_中学2年生,算数,パソコン,1,すいか,サンドボックス,ペンギン,プログラミング,エンジニア,8
27,日本,東京都,,,7_中学1年生,図工,スマホ,2,りんご,シミュレーション,ねこ,絵,まだ決まっていない,9
28,日本,兵庫県,,,6_6年生,図工,タブレット,3,なし,パズル,ねこ,絵,ユーチューバー,8
29,米国,,,,Adult,算数,パソコン,2,いちご,パズル,ねこ,スポーツ,エンジニア,7
30,日本,神奈川県,,,7_中学1年生,理科,パソコン,2,りんご,アクション,いぬ,絵,ゲームクリエイター,6
31,日本,東京都,,,8_中学2年生,算数,デバイスはあまり使わない,1,なし,アクション,ねこ,スポーツ,まだ決まっていない,9
32,それ以外,,,China/shanghai,5_5年生,算数,パソコン,3,すいか,冒険,いぬ,なぞとき,動物の世話をする仕事,9
33,日本,東京都,,,6_6年生,算数,タブレット,3,りんご,冒険,とり,絵,科学者研究者,9
34,日本,茨城県,,,3_3年生,図工,タブレット,1,ぶどう,冒険,いぬ,工作,動物の世話をする仕事,8
35,米国,,Washington,,5_5年生,体育,パソコン,2,いちご,シミュレーション,ハムスター,スポーツ,パイロット,9
36,それ以外,,,China/shanghai,5_5年生,国語,パソコン,3,パイナップル,アクション,いぬ,音楽,まだ決まっていない,9
37,日本,熊本県,,,5_5年生,英語,パソコン,3,どれも好きではない,rpg,いぬ,どれもあまり好きではない,ゲームクリエイター,9
38,それ以外,,,Singapore,7_中学1年生,理科,パソコン,1,なし,冒険,ハムスター,スポーツ,科学者研究者,9
39,それ以外,,,Hong Kong,4_4年生,ICT,タブレット,0,オレンジ,シミュレーション,ねこ,プログラミング,ゲームクリエイター,8
40,日本,愛知県,,,5_5年生,算数,タブレット,2,ぶどう,パズル,ねこ,なぞとき,ゲームクリエイター,8
41,日本,千葉県,,,7_中学1年生,算数,デバイスはあまり使わない,1,みかん,ない,さかな,工作,まだ決まっていない,9
42,日本,宮城県,,,8_中学2年生,理科,パソコン,3,ぶどう,アクション,ねこ,絵,医者,7
43,日本,熊本県,,,6_6年生,算数,タブレット,5,ぶどう,アクション,ハムスター,スポーツ,まだ決まっていない,9
44,日本,東京都,,,7_中学1年生,体育,タブレット,0,ぶどう,アクション,いぬ,スポーツ,ゲームクリエイター,7
45,日本,熊本県,,,4_4年生,体育,タブレット,4,なし,スポーツ,ねこ,絵,アーティスト,8
46,米国,,Washington,,3_3年生,算数,パソコン,1,いちご,パズル,いぬ,音楽,エンジニア,9
47,日本,愛知県,,,5_5年生,音楽,デバイスはあまり使わない,3,なし,冒険,いぬ,音楽,ミュージシャン,8
48,日本,埼玉県,,,8_中学2年生,理科,デバイスはあまり使わない,2,すいか,冒険,へび,どれもあまり好きではない,動物の世話をする仕事,6
